season,optimal_rate,actual_2pt_rate,optimal_2pt_rate,wp_cost,n_decisions
2015,0.5431098010316876,0.07516580692704496,0.4642593957258659,0.8772268314945594,1357
2016,0.5385745775165319,0.08302718589272594,0.48273328434974283,0.9004645143962908,1361
2017,0.54871395167576,0.07092751363990647,0.4567420109119252,0.7445096222098305,1283
2018,0.577574047954866,0.09732016925246827,0.46473906911142454,0.7791109421669558,1418
2019,0.5982658959537572,0.08598265895953758,0.4270231213872832,0.756741087766489,1384
2020,0.5897269180754227,0.0929778933680104,0.4434330299089727,0.8382110868266824,1538
2021,0.6090479405806887,0.10803511141120864,0.4220121539500338,0.825091438322831,1481
2022,0.5836350470673425,0.09268645908761766,0.44822592324402605,0.7063892258847569,1381
2023,0.6094890510948905,0.09635036496350365,0.4240875912408759,0.7289964200877572,1370
2024,0.6482758620689655,0.10206896551724139,0.3820689655172414,0.7204443576479332,1450
