year,n_decisions,strict_optimal_rate,defensible_optimal_rate,training_years
2016,1361,0.43350477590007347,0.8295371050698016,2015-2015
2017,1283,0.5128604832424006,0.7856586126266563,2015-2016
2018,1418,0.573342736248237,0.8610719322990127,2015-2017
2019,1384,0.5570809248554913,0.8728323699421965,2015-2018
2020,1538,0.5539661898569571,0.9505851755526658,2015-2019
2021,1481,0.5570560432140446,0.9142471303173532,2015-2020
2022,1381,0.560463432295438,0.9362780593772628,2015-2021
2023,1370,0.5817518248175182,0.9773722627737226,2015-2022
2024,1450,0.5475862068965517,0.9855172413793103,2015-2023
