year,n_decisions,n_correct_ex_ante,pct_correct_ex_ante,n_ex_ante_wrong,pct_ex_ante_wrong,n_knowable_mistake,pct_knowable,n_hindsight_only,pct_hindsight,ex_ante_ex_post_agreement,actual_2pt_rate,ex_ante_optimal_2pt_rate,ex_post_optimal_2pt_rate
2016,1361,593,0.4357090374724467,768,0.5642909625275533,435,0.319617927994122,333,0.2446730345334313,0.6164584864070536,0.08302718589272594,0.5944158706833211,0.47979426891991184
2017,1283,659,0.5136399064692128,624,0.48636009353078724,345,0.26890101325019483,279,0.21745908028059235,0.5970381917381138,0.07092751363990647,0.48713951675759937,0.4567420109119252
2018,1418,810,0.5712270803949224,608,0.4287729196050776,326,0.229901269393512,282,0.19887165021156558,0.609308885754584,0.09732016925246827,0.4231311706629055,0.46403385049365303
2019,1384,771,0.5570809248554913,613,0.4429190751445087,353,0.2550578034682081,260,0.18786127167630057,0.666907514450867,0.08598265895953758,0.4552023121387283,0.4270231213872832
2020,1538,854,0.5552665799739922,684,0.4447334200260078,440,0.28608582574772434,244,0.15864759427828348,0.7158647594278283,0.0929778933680104,0.476592977893368,0.4447334200260078
2021,1481,825,0.5570560432140446,656,0.44294395678595544,376,0.2538825118163403,280,0.18906144496961513,0.6731937879810939,0.10803511141120864,0.4618501012829169,0.4226873733963538
2022,1381,774,0.560463432295438,607,0.4395365677045619,413,0.2990586531498914,194,0.14047791455467054,0.7422157856625634,0.09268645908761766,0.4670528602461984,0.44677769732078204
2023,1370,794,0.5795620437956205,576,0.42043795620437957,450,0.3284671532846715,126,0.09197080291970802,0.8467153284671532,0.09635036496350365,0.4394160583941606,0.4233576642335766
2024,1450,793,0.546896551724138,657,0.4531034482758621,490,0.33793103448275863,167,0.11517241379310345,0.8703448275862069,0.10206896551724139,0.5013793103448276,0.38275862068965516
