season,n_players,total_salary,total_war,dollars_per_war,avg_war,avg_salary
2000,408,2395628950.6771655,697.9,3432624.947237664,1.7105392156862744,5871639.584993052
2001,380,2569895576.30415,693.3000000000001,3706758.3676678925,1.8244736842105265,6762883.095537237
2002,393,2641052435.4800615,680.2,3882758.652572863,1.730788804071247,6720235.204783872
2003,373,2742623050.546113,657.2,4173193.92961977,1.7619302949061664,7352876.811115584
2004,389,3063690902.2888894,691.1000000000001,4433064.538111545,1.7766066838046275,7875812.088146245
2005,386,2952803565.3912477,672.4,4391438.972919762,1.7419689119170985,7649750.169407378
2006,375,2981024723.408936,633.1,4708615.895449275,1.6882666666666668,7949399.262423829
2007,382,3172345955.5399795,620.3000000000001,5114212.406158277,1.623821989528796,8304570.564240784
2008,363,3296638794.926586,604.5,5453496.765800804,1.665289256198347,9081649.572800513
2009,355,3176054732.9215546,573.7,5536089.825556135,1.6160563380281692,8946633.050483253
2010,339,3309865622.0960894,576.9,5737329.904829415,1.7017699115044247,9763615.404413244
2011,340,3464320867.7958546,569.3,6085228.996655287,1.6744117647058823,10189179.022928985
2012,371,4282350369.781419,635.8000000000001,6735373.340329378,1.713746630727763,11542723.36868307
2013,366,4176704292.990709,579.6,7206184.080384245,1.5836065573770493,11411760.363362592
2014,366,4721760045.410028,614.7,7681405.637563084,1.6795081967213117,12900983.730628492
2015,378,4761499055.301296,572.3,8319935.4452233035,1.5140211640211638,12596558.347357927
2016,367,4978673364.930272,570.9,8720745.077824965,1.5555858310626702,13565867.479374038
2017,366,5183213782.750152,580.9,8922729.87218136,1.5871584699453551,14161786.291667081
2018,387,4895044325.400563,557.3,8783499.596986476,1.4400516795865632,12648693.347288277
2019,361,5846684926.656433,595.0,9826361.221271316,1.6481994459833795,16195803.120931948
2020,273,1848041285.4957147,220.0,8400187.661344158,0.8058608058608059,6769381.998152801
2021,428,6490925167.252293,651.3,9966106.505838005,1.5217289719626168,15165713.007598815
2022,399,6500353483.184001,628.3000000000001,10345939.015094701,1.57468671679198,16291612.739809526
2023,432,6392917116.371775,607.0,10531988.659591062,1.4050925925925926,14798419.250860589
2024,415,6346687426.145761,595.6,10655956.054643653,1.4351807228915663,15293222.713604242
