season,total_salary,avg_salary,n_players,total_war,avg_war,dollars_per_war
2000,1203951035,2467112.776639344,488,952.1,1.9510245901639345,1264521.6206280852
2001,1354885273,2852390.0484210528,475,976.8,2.056421052631579,1387065.1852989353
2002,1505281619,3065746.6782077393,491,970.7,1.9769857433808555,1550717.646028639
2003,1449651250,3110839.592274678,466,966.5,2.0740343347639487,1499897.8272115882
2004,1496805361,3111861.4573804573,481,969.3,2.015176715176715,1544212.690601465
2005,1608858000,3324086.776859504,484,988.8,2.0429752066115703,1627081.3106796117
2006,1619832162,3567912.2511013215,454,928.2,2.0444933920704846,1745132.6890756302
2007,1831207669,3618987.4881422925,506,955.4,1.8881422924901186,1916692.1383713628
2008,1761001101,3668752.29375,480,937.3,1.9527083333333333,1878801.985490238
2009,1752548368,3752780.2312633833,467,908.5,1.9453961456102784,1929057.0919097413
2010,1805265226,3958914.9692982454,456,943.9,2.069956140350877,1912559.8326093866
2011,1911573912,3909149.1042944784,489,956.8,1.956646216768916,1997882.433110368
2012,1965519973,4019468.2474437626,489,912.7,1.8664621676891617,2153522.486030459
2013,2179766934,4257357.29296875,512,960.0,1.875,2270590.55625
2014,2182330364,4565544.694560669,478,933.4,1.9527196652719665,2338044.1011356334
2015,2351661717,4868864.838509317,483,875.6,1.8128364389233955,2685771.7188213794
2016,2549789319,5109798.234468938,499,923.1,1.8498997995991984,2762202.7071823203
