team,market_index,avg_wins,base_win_value,marginal_playoff_prob,playoff_option_value,rational_win_value,rational_win_index
NYY,1.476120622058529,93.6470588235294,2214180.9330877936,0.03397777766328883,1019333.3298986648,3233514.2629864584,1.378877696044976
LAD,1.4192264163114143,87.0,2128839.6244671214,0.10754449965342462,3226334.9896027385,5355174.61406986,2.2836240180821856
STL,1.348279795502555,91.17647058823529,2022419.6932538324,0.09404426654191414,2821327.9962574244,4843747.689511256,2.065534619961077
SFG,1.3166448055291706,86.0,1974967.208293756,0.07833235149025944,2349970.544707783,4324937.753001539,1.8442968607439454
LAA,1.2275036530855583,87.6470588235294,1841255.4796283375,0.12415604960586668,3724681.4881760003,5565936.967804338,2.373500074005935
CHC,1.2169978724326174,79.58823529411765,1825496.808648926,0.003210959064002997,96328.77192008992,1921825.5805690158,0.8195301499266653
BOS,1.1763057119293303,88.6470588235294,1764458.5678939954,0.1381814826951333,4145444.480853999,5909903.048747994,2.5201786158754733
NYM,1.122673804572133,80.88235294117646,1684010.7068581993,0.006501830954992893,195054.9286497868,1879065.6355079862,0.8012958915522159
PHI,1.105455228684755,82.94117647058823,1658182.8430271326,0.019373664708709677,581209.9412612903,2239392.784288423,0.9549513352346999
COL,1.0690763571001631,74.82352941176471,1603614.5356502447,0.00023106957894025352,6932.087368207605,1610546.6230184522,0.686790481285717
TEX,1.04941055383121,82.11764705882354,1574115.8307468148,0.012603215936620636,378096.4780986191,1952212.3088454339,0.8324880584028239
SEA,1.021864563767105,80.0,1532796.8456506575,0.004022662868909562,120679.88606728686,1653476.7317179444,0.705097303077758
MIL,1.0192457084115765,76.11764705882354,1528868.5626173648,0.00047321387280898513,14196.416184269554,1543064.9788016344,0.6580140706886989
ATL,1.0153759856007782,86.82352941176471,1523063.9784011673,0.1024855911364123,3074567.7340923687,4597631.712493536,1.9605826068418843
HOU,1.0081023839112793,77.05882352941177,1512153.575866919,0.000796592618118438,23897.77854355314,1536051.354410472,0.655023228696099
DET,1.0056898801997172,78.58823529411765,1508534.8202995758,0.0018532576514503026,55597.72954350908,1564132.549843085,0.6669979815226251
SDP,0.9648888964819826,76.52941176470588,1447333.3447229739,0.0005943506882480772,17830.520647442318,1465163.865370416,0.6247944529381442
ARI,0.9588026380751945,78.70588235294117,1438203.9571127917,0.0019773126765834067,59319.3802975022,1497523.337410294,0.6385936047657189
BAL,0.9577567553790914,75.11764705882354,1436635.1330686372,0.0002719683249987261,8159.049749961783,1444794.182818599,0.616108144896232
MIN,0.910784142905641,80.23529411764706,1366176.2143584616,0.004574053087996967,137221.592639909,1503397.8069983707,0.6410986733790895
CIN,0.8835412655410994,77.41176470588235,1325311.898311649,0.000968219495845835,29046.58487537505,1354358.483187024,0.5775433639779535
TOR,0.8765979224036875,81.3529411764706,1314896.8836055312,0.00838130221333201,251439.0663999603,1566335.9500054915,0.6679375844104746
CHW,0.8420294058054971,82.29411764705883,1263044.1087082457,0.013832790887622636,414983.7266286791,1678027.8353369248,0.71556670770696
CLE,0.8116645875376314,81.47058823529412,1217496.881306447,0.008927894120789046,267836.8236236714,1485333.7049301185,0.633395541301983
PIT,0.7895170250605705,73.3529411764706,1184275.5375908557,0.00010226951596788241,3068.0854790364724,1187343.6230698922,0.5063226898774201
WSN,0.7576778656628127,77.52941176470588,1136516.798494219,0.001033254463581957,30997.633907458712,1167514.4324016778,0.4978668654958784
OAK,0.7453928806086548,85.88235294117646,1118089.3209129823,0.07498846247374544,2249653.8742123633,3367743.1951253456,1.4361173633657265
KCR,0.7111699220801404,72.52941176470588,1066754.8831202106,6.478191637607759e-05,1943.4574912823277,1068698.340611493,0.45572840749075605
MIA,0.6120002955636585,77.70588235294117,918000.4433454878,0.0011390542938095169,34171.628814285505,952172.0721597733,0.40603774293712996
TBR,0.5802030539664416,75.76470588235294,870304.5809496624,0.00038920795611576363,11676.23868347291,881980.8196331352,0.3761058655137561
