era,war_bucket,dollars_per_war,relative_to_baseline
2000-2009,0-1,3692807.678561314,0.972259705567924
2000-2009,1-2,3798170.0335963652,1.0
2000-2009,2-3,4149214.995319625,1.0924247620875642
2000-2009,3-5,4714947.5866942415,1.2413734890720016
2000-2009,5+,5555900.029827023,1.4627833879691583
2010-2019,0-1,6398880.356482399,0.9343569311150123
2010-2019,1-2,6848432.481628099,1.0
2010-2019,2-3,7467195.16412866,1.0903509940647704
2010-2019,3-5,8361080.595041953,1.2208750860100832
2010-2019,5+,9877988.054910531,1.4423721167449117
2020-2024,0-1,8323884.1391192125,0.9261757516330373
2020-2024,1-2,8987369.972105728,1.0
2020-2024,2-3,9889217.388889242,1.1003460878524634
2020-2024,3-5,11492488.03683012,1.278737614285333
2020-2024,5+,13412426.300791696,1.4923638775770998
