team,gamma_mean,gamma_sd,gamma_ci_lower,gamma_ci_upper,efficiency_mean,efficiency_ci_lower,efficiency_ci_upper
DET,-0.045336842865021716,0.03181516877265297,-0.11243130877470794,0.010867774522458252,1.0469116185409437,0.9891910668430745,1.118995389108365
PHI,-0.04498046388089493,0.02960988542523509,-0.10661166408901794,0.011583372222368469,1.0464669429901843,0.9884834567498154,1.11250214604879
CLE,-0.04456899242880654,0.03237431895223029,-0.11383855531664432,0.0145154762936456,1.0461268010593048,0.9855893653439177,1.120571200748926
WSN,-0.03790078734468349,0.02925055842862713,-0.09998631062287194,0.016676554084943104,1.0390735011622816,0.9834617298760631,1.105155789099463
CIN,-0.0330462299631911,0.03137956450670808,-0.09983975383828006,0.02419685531291709,1.0341090136820552,0.9760935416442961,1.1049938328669728
- - -,-0.028636653140346236,0.02027089399604779,-0.06735191351923074,0.00884521747683218,1.029262128920653,0.9911937868251371,1.0696718439296367
TOR,-0.027522463742079832,0.02833649407295767,-0.08728650366180661,0.02659635531126494,1.0283184799405625,0.9737542129247724,1.0912092703887173
NYM,-0.025270688889925272,0.028534998315325636,-0.08258924671698228,0.030776309503809177,1.0260109565086786,0.9696924598048579,1.086095599677256
OAK,-0.019624814084001487,0.0301949844611554,-0.08065893332711238,0.03631763937411335,1.020284160516802,0.9643339344024857,1.0840011168562445
FLA,-0.011089690074119554,0.04053381631709304,-0.09660280252872219,0.06982682137021991,1.0119851496312677,0.9325553048939397,1.1014228043733592
STL,-0.01134989637572666,0.028456769381530782,-0.06808644215577987,0.044700452660310176,1.0118243659456745,0.9562838912809165,1.0704578372324522
MIA,-0.007678969404627965,0.030620710944380916,-0.06710884596728216,0.05566417579920759,1.0081806023646345,0.9458567241815586,1.0694118730096718
TEX,-0.007073381918855341,0.02796023308592552,-0.063064999224545,0.04823501663163953,1.0074924037755082,0.9529098118156414,1.0650960677732941
SFG,-0.0030286024487628255,0.025698033866582988,-0.05441122235112185,0.04546503894336882,1.003364566118313,0.9555530091308531,1.0559187302702255
BOS,-0.0008308061699817395,0.027201026640688998,-0.056132693063471684,0.05112606264163242,1.001201498328809,0.9501588834666412,1.0577380305432356
TBR,0.002705767296305979,0.027475691158191394,-0.05203187557130258,0.056004502026324864,0.997674237102663,0.9455348790578975,1.0534093200021015
SEA,0.005582320682940076,0.029196039045583398,-0.052060987218014845,0.06808413776709368,0.9948568215431404,0.9341818702938816,1.0534399869284492
CHW,0.007110171773960542,0.029929515068392958,-0.04990378072583132,0.06561342702697691,0.9933596140701236,0.9364928202563516,1.0511699487004322
PIT,0.007466765129735155,0.02952102030874976,-0.05004621696609515,0.06874590775100381,0.9929932346253281,0.9335638627211044,1.0513196840608636
ATL,0.014391816196382022,0.02911793479519631,-0.03873553958373007,0.06860383946749365,0.9861290297099228,0.9336965005220794,1.0394955418724374
LAA,0.014722130595479967,0.028376628996247807,-0.042716748311737524,0.07141233361331908,0.9857826391872723,0.9310778982521737,1.0436422421227236
ARI,0.01485727637400505,0.029397814626176563,-0.040575610667241246,0.07383283229473328,0.9856778880512417,0.9288269507339004,1.0414100496570504
HOU,0.015501926907330772,0.02759503637924631,-0.03958828161372752,0.07105693540269753,0.9849926864598408,0.9314088605681886,1.0403823415229718
LAD,0.01818247928545434,0.02812141393955671,-0.03561817469425938,0.0775986256719995,0.9823696357381192,0.9253357594905391,1.036260100613093
CHC,0.022935219174393052,0.028316810922982348,-0.03308412074316232,0.07749801068453532,0.977717590467049,0.9254288653647591,1.0336374864059108
COL,0.0254027581355267,0.029421526399986818,-0.02898091641859237,0.0888473855947917,0.9753378592574087,0.9149852028419683,1.0294049501006202
SDP,0.025513779114748048,0.02951108135431793,-0.027932219430801073,0.08724712363466205,0.975232571836836,0.9164505910459392,1.0283259815388504
KCR,0.028561346451826432,0.030398967642900142,-0.02587037604982767,0.09063881393708782,0.9722912154959745,0.9133475397328379,1.0262079187275843
MIN,0.028511763049658096,0.027033888309589655,-0.02436732436406698,0.08339843014663796,0.9722454721891154,0.9199845248000849,1.0246666337910288
NYY,0.032942889666004505,0.02779504005047701,-0.02058898858347925,0.0863048086851868,0.9679672757060486,0.9173145831507431,1.0208024039614034
MIL,0.03458033172838917,0.030669181720466118,-0.023765321162352086,0.09705548803645388,0.9664644726567516,0.9075056490296417,1.0240499675969046
BAL,0.04602595134377151,0.03053619700817735,-0.010830812179228558,0.11065379878182247,0.9554615162707967,0.8952486315394238,1.0108896777541687
