team,gamma_mean,gamma_sd,gamma_ci_lower,gamma_ci_upper,efficiency_mean,efficiency_ci_lower,efficiency_ci_upper,prob_above_avg
MIA,-0.45436528689609135,0.08589428033549529,-0.6300043087157037,-0.28730452768886,1.5809970237599689,1.332830170441735,1.8776186695518038,1.0
OAK,-0.4068695977766738,0.08934159773288534,-0.589577717817772,-0.22909749585428063,1.5081206318793663,1.2574646306220452,1.803226784760764,1.0
PIT,-0.36954667495029375,0.09286004416425168,-0.547375649129004,-0.1881275813575003,1.453326214753069,1.2069874946300043,1.7287103227630556,1.0
TBR,-0.35927891019581953,0.09549332495105348,-0.5411561957781549,-0.17174243598204958,1.438828116795375,1.1873719709271007,1.717992091298169,1.0
SDP,-0.26968085875736464,0.0869749137893675,-0.4529132405946325,-0.11243739541861947,1.3145216022081958,1.119002200055565,1.5728877177911826,0.9976666666666667
CLE,-0.22081112159341076,0.09078946372556701,-0.3903908512370576,-0.04392263293973018,1.2522259910363613,1.0449015487940754,1.4775581878803337,0.9923333333333333
CIN,-0.17850550272896276,0.09677651107676731,-0.369926890589411,0.01615144931552008,1.2010245521299658,0.983978285932121,1.4476287755079233,0.968
MIL,-0.17480705232204083,0.09374763772242709,-0.38045859285244893,-0.004259219124406327,1.1963103779955548,1.0042683024896168,1.4629553513394637,0.98
HOU,-0.1452985456461564,0.09053370697658397,-0.31467004012764055,0.036735992321235755,1.1611163330837215,0.9639305868357226,1.3698072550970435,0.9393333333333334
MIN,-0.1359026298122551,0.08848375830807303,-0.31503864049345764,0.026784188473097496,1.150078050640298,0.9735713566225777,1.370312259490652,0.9436666666666667
COL,-0.11979175163636574,0.0893806761993848,-0.2920157842136518,0.05676027137239304,1.1317645637926825,0.944820543034103,1.3391241574106403,0.897
KCR,-0.11321576298709499,0.10063316860473163,-0.2946213124504123,0.07723666619422391,1.1255367201369515,0.9256707527832924,1.342617833587471,0.8676666666666667
WSN,-0.09853554460911315,0.09356612373418798,-0.28519659421709637,0.09505691360872669,1.108391703671505,0.9093211802456262,1.3300235004391268,0.8663333333333333
ARI,-0.07805121704884219,0.08752270971612591,-0.24448555926426635,0.09829918373404542,1.0853255381068911,0.9063777452644548,1.2769642352450759,0.8136666666666666
TOR,-0.0004019650969534041,0.0960834044293266,-0.18206278115346478,0.20285272161390513,1.0049958044304104,0.816398475798121,1.199689509833184,0.5123333333333333
ATL,0.01900280742740551,0.09564317729552547,-0.1627269834647645,0.19969742050118164,0.985676084807484,0.8189785218969493,1.1767153830726085,0.429
TEX,0.026089518848117953,0.08703084232264417,-0.14515811031410567,0.2016752720444764,0.97793532191173,0.8173603081933827,1.1562223664981992,0.38266666666666665
LAA,0.05593576412888206,0.08424553168724007,-0.10161530332944678,0.2186466685654916,0.9489574697209202,0.803605609135471,1.1069575469796484,0.266
BAL,0.058904507158828744,0.09351811557688382,-0.12734653484293781,0.23668080287789012,0.9469336559998333,0.7892431719642915,1.1358105475406823,0.27266666666666667
CHW,0.08886429166990596,0.09522908057386814,-0.09534960823432691,0.28374107717260266,0.9191240627296746,0.7529615784095177,1.100043372128044,0.176
STL,0.11048169419188793,0.08325907560357819,-0.05168450939572517,0.2744394266906969,0.8985134561909457,0.7599980385719511,1.053043464803818,0.086
DET,0.1362200970786801,0.08767371347731003,-0.03737746730314034,0.30315284833232825,0.8760068415228853,0.7384862142082148,1.0380847959732225,0.05733333333333333
SFG,0.15739746971032265,0.08661697293452507,-0.010947895283500847,0.33743903377206114,0.8575594260940603,0.7135954788088262,1.0110080427848545,0.035
SEA,0.17306113985193403,0.09301477186401194,-0.009669703891040408,0.34419566268111046,0.8447663103887129,0.7087902319849002,1.0097166079884372,0.027666666666666666
PHI,0.19086326503545625,0.09455114432457305,0.010360959359822987,0.3946858853698657,0.8299246079552258,0.6738916880112582,0.9896925304848434,0.016
CHC,0.2932497934156002,0.08719987389176935,0.12859630247159998,0.46131066626973577,0.7486704003318689,0.6304567870632906,0.8793288778623645,0.0
NYM,0.3075367244115092,0.08951685494849608,0.1342122583943271,0.47838591553688803,0.7382054560065557,0.6197829669472259,0.8744044452208598,0.0
LAD,0.38294200004242823,0.09124633740218205,0.19589244612262233,0.5669801736524464,0.6846921497661663,0.5672358089160975,0.8221006500359002,0.0
BOS,0.46018483800567156,0.08941151128943936,0.28914400510682947,0.6281198750476749,0.6337049680846202,0.533594083007491,0.7489043568508369,0.0
NYY,0.7465742862405721,0.09049030306611319,0.5745916058920921,0.9222265382889978,0.4759291035009078,0.39763271027155406,0.5629347261446657,0.0
