year,gamma_mean,gamma_sd,gamma_ci_lower,gamma_ci_upper
2000,-0.23263280036801223,0.1497829749538155,-0.4337829318558888,0.10286803127222796
2001,-0.1760793333839338,0.15098026846273457,-0.36640559275785056,0.15937368530971824
2002,-0.1094190942732323,0.14937333943200615,-0.2975205352541797,0.22950527815972613
2003,-0.10005717627163865,0.1491391855038102,-0.2993099929263672,0.243368670568037
2004,-0.07366254383163257,0.14567025449723917,-0.2660445239150496,0.2560870443009052
2005,-0.0050711889692369614,0.14724545063138073,-0.18889479745291013,0.33125094582963105
2006,0.029900567148659216,0.15267384932171435,-0.16259229852128892,0.38596888776768384
2007,0.07390055714928105,0.15148544732939573,-0.11561026666027105,0.42485189663377304
2008,0.06961079471186499,0.1501981571750573,-0.12005645741684172,0.4086951368853301
2009,0.09791608436641339,0.15095157297715792,-0.09265347050795099,0.4418372274244261
2010,0.1472857974606419,0.15184484194636383,-0.03414590454051319,0.5002337141572101
2011,0.1785296154465472,0.15101275526573035,-0.007465845350390937,0.5192668520924456
2012,0.218185520009383,0.15325867083932537,0.022221119977049515,0.5616652154262787
2013,0.2716496508999793,0.15356868241750318,0.07403470064834108,0.6136930613165037
2014,0.32848786490348797,0.15030012849791283,0.13422438511779805,0.6599374829228885
2015,0.39361806999560955,0.1502802150978764,0.19761119212099673,0.7220084981372313
2016,0.3978714988854487,0.15017361178086316,0.19516660292291754,0.7315842186825238
