year,r_squared,rmse,n
2000,0.9258623720357161,0.27978929061849245,408
2001,0.9422010181314453,0.25104629939296813,380
2002,0.9415573920873199,0.2499692166000393,393
2003,0.9523964379936162,0.2441313443547645,373
2004,0.9518942932275909,0.23412177870205714,389
2005,0.9519657043021079,0.22707528176310568,386
2006,0.9607065289996434,0.21329478559245274,375
2007,0.9683458434629929,0.19078533188079927,382
2008,0.9702248442221696,0.1935764159349911,363
2009,0.967461404161996,0.20054302787202072,355
2010,0.9681344809082082,0.1998861143309955,339
2011,0.976628528882863,0.17587272484819255,340
2012,0.9752966640638664,0.17593838242237012,371
2013,0.9758839922500698,0.17705731135438532,366
2014,0.9797559719901382,0.165790612449237,366
2015,0.9826465348465153,0.1583823229964357,378
2016,0.982160176862976,0.15512604151762552,367
2017,0.9824671727720836,0.15104093495104348,366
2018,0.981492855053703,0.1567858532273631,387
2019,0.982140934752334,0.1517731065228739,361
2020,0.9744842551041037,0.1478763493753275,273
2021,0.9820155426046545,0.15457368174287078,428
2022,0.9837841863644884,0.14870461647340397,399
2023,0.982482301596067,0.1537033624468124,432
2024,0.9832429763739718,0.15093346828630055,415
